age,live,through,sex,domain,transportation,most_app,likes
21.5,가족과 함께 살고 있음,지인 소개,여,직장인,자전거 및 퍼스널 모빌리티,날씨,3
25,가족과 함께 살고 있음,에브리타임,남,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수",2
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",2
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,SNS,4
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
25,원룸,지인 소개,여,학생,지하철,"날씨, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
25,가족과 함께 살고 있음,에브리타임,남,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 미세먼지, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,지인 소개,여,학생,자동차,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4
21.5,가족과 함께 살고 있음,지인 소개,여,학생,지하철,"날씨, 이동수단에 대한 정보",3
25,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",3
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 코로나 관련 소식 및 확진자 수",4
21.5,기숙사,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",3
